accident_id,Country,Year,Month,Road Type,Weather Conditions,Visibility Level,Number of Vehicles Involved,Speed Limit,Driver Gender,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Pedestrians Involved,Cyclists Involved,Accident Severity,Number of Injuries,Number of Fatalities,Emergency Response Time,Traffic Volume,Accident Cause,Insurance Claims,Medical Cost,Economic Loss,Population Density
ACC00011,India,2024,February,Highway,Windy,118.8123837,4,48,Female,0.140114361,0,Poor,2,2,Severe,16,4,14.45070918,1251.196927,Distracted Driving,0,48800.6354,20387.15122,695.8044544
ACC00012,Germany,2024,December,Street,Clear,239.5178402,1,94,Female,0.242663387,1,Moderate,1,1,Severe,4,3,53.74638236,4307.81803,Weather,9,37343.49612,47109.48437,2097.789928
ACC00013,China,2024,January,Highway,Rainy,107.3317204,2,31,Male,0.15004936,0,Good,1,2,Moderate,17,4,6.905377514,809.0825156,Distracted Driving,2,46830.75751,96669.96923,4068.033408
ACC00014,Canada,2024,December,Highway,Clear,80.47554415,1,47,Male,0.087034146,0,Moderate,0,1,Minor,13,1,20.94415092,3084.001231,Weather,1,5180.92767,19713.44742,4644.437995
ACC00015,Japan,2024,October,Street,Rainy,320.3666564,1,96,Male,0.171943629,1,Poor,1,0,Moderate,14,2,9.83538888,5642.017239,Distracted Driving,0,28125.38175,92813.13795,894.9848374
ACC00016,China,2024,February,Street,Snowy,268.7064513,4,73,Female,0.12835625,0,Good,1,0,Moderate,13,1,40.96093833,7474.630674,Drunk Driving,2,13416.90472,84168.48883,396.7794742
ACC00017,Australia,2024,December,Main Road,Clear,454.4974668,2,61,Male,0.177638276,0,Poor,0,2,Moderate,16,4,45.02962635,6669.804082,Speeding,0,6053.411122,82565.65018,3283.936629
ACC00018,China,2024,November,Highway,Clear,425.9020102,3,37,Female,0.066753195,1,Good,0,0,Severe,11,0,15.37593237,7926.402085,Distracted Driving,5,25779.02762,62323.32176,2935.604236
ACC00019,Germany,2024,January,Highway,Snowy,324.2895664,4,104,Male,0.049710967,0,Poor,2,0,Severe,10,1,31.66166242,1905.232166,Mechanical Failure,6,33493.56647,90150.05305,646.4947269
ACC00020,UK,2024,July,Street,Snowy,333.0823401,2,48,Male,0.167555869,0,Poor,1,2,Minor,17,1,58.29866671,8200.136744,Speeding,9,26101.70922,85496.03798,4838.872835
ACC00021,UK,2024,February,Main Road,Foggy,324.1713142,3,34,Female,0.227157607,1,Moderate,1,0,Minor,12,4,59.26319959,622.7542965,Mechanical Failure,0,46142.29075,74849.13349,930.1980856
ACC00022,UK,2024,August,Highway,Clear,101.3089686,1,53,Male,0.098127861,1,Moderate,0,2,Severe,9,0,55.5470448,9060.63308,Drunk Driving,2,39492.19636,45669.45879,1891.135261
ACC00023,Russia,2024,May,Main Road,Clear,132.1155833,4,101,Female,0.016395535,0,Moderate,2,1,Moderate,6,2,59.04566633,1626.736363,Weather,1,37462.96002,18012.59368,2078.075669
ACC00024,Japan,2024,December,Main Road,Snowy,461.4875513,1,91,Female,0.080553072,1,Moderate,2,1,Severe,16,2,53.32103572,3558.031933,Drunk Driving,7,37601.56687,35159.04558,1076.487818
ACC00025,India,2024,July,Street,Foggy,454.2020591,2,36,Female,0.059058816,1,Good,1,0,Severe,17,2,23.82501607,6272.402577,Drunk Driving,4,32031.91593,39897.11041,4924.798173
ACC00026,China,2024,February,Highway,Rainy,440.3337335,3,114,Female,0.062880303,1,Poor,1,2,Moderate,5,4,29.50974236,3800.300016,Weather,2,42965.38329,82496.21626,3070.543011
ACC00027,India,2024,August,Street,Snowy,430.1622347,3,35,Female,0.069237619,1,Moderate,0,1,Severe,17,3,40.07578655,2105.770634,Mechanical Failure,8,6756.264683,86475.03651,1817.657453
ACC00028,Canada,2024,November,Main Road,Rainy,438.0019914,2,104,Male,0.200214308,0,Moderate,2,1,Severe,18,2,35.07251077,6260.773582,Distracted Driving,9,13178.08891,8477.491351,4252.458591
ACC00029,Canada,2024,September,Main Road,Windy,393.1732238,3,76,Male,0.20513657,1,Moderate,0,2,Minor,19,0,59.64210991,5294.330806,Speeding,9,24008.29466,10315.92132,83.84238947
ACC00030,Russia,2024,September,Street,Snowy,142.0147723,2,31,Male,0.0913501,1,Good,0,0,Severe,10,1,35.77436533,7385.378986,Drunk Driving,8,28699.84944,79409.36989,799.3461025
ACC00031,Russia,2024,July,Street,Windy,127.5420523,2,98,Male,0.076611267,0,Poor,2,0,Minor,15,4,5.987659833,3294.85025,Distracted Driving,4,36979.66126,21400.37918,3139.588616
ACC00032,UK,2024,January,Main Road,Snowy,477.0272264,2,70,Male,0.223927277,0,Moderate,2,2,Severe,11,0,46.54420499,6748.55583,Speeding,2,23136.6362,60063.70678,3250.638524
ACC00033,UK,2024,October,Main Road,Windy,254.4815944,4,62,Female,0.009111773,1,Poor,1,1,Severe,10,4,29.94272989,8299.542009,Mechanical Failure,0,28801.40451,86330.12854,4609.07907
ACC00034,India,2024,August,Main Road,Rainy,360.5121287,4,108,Female,0.003040669,0,Poor,0,2,Minor,18,0,58.11433739,249.8138293,Drunk Driving,4,38911.9156,51447.71238,230.2238154
ACC00035,Australia,2024,May,Street,Rainy,382.4432939,3,106,Male,0.170144612,1,Moderate,0,0,Severe,14,2,50.46426872,9149.265915,Weather,8,36522.92238,54594.72383,2953.954132
ACC00036,Brazil,2024,February,Highway,Foggy,57.91482188,3,68,Female,0.225225858,0,Poor,0,0,Moderate,4,3,30.3579985,3909.080299,Distracted Driving,7,31841.1999,15123.57019,651.4120468
ACC00037,UK,2024,October,Main Road,Windy,294.4766835,3,116,Male,0.032660196,0,Moderate,2,2,Severe,15,1,28.43523661,6217.831481,Speeding,4,19749.72005,31424.13392,3801.497456
ACC00038,Russia,2024,November,Main Road,Foggy,394.5919518,1,49,Male,0.11851644,1,Good,0,0,Severe,8,1,46.11420781,848.7211293,Drunk Driving,4,46771.93705,78259.46061,2175.899242
ACC00039,Brazil,2024,January,Highway,Foggy,327.1742816,1,113,Female,0.225482696,1,Good,1,1,Minor,5,2,57.46296625,1985.818437,Weather,3,47540.53578,80903.10687,3068.189052
ACC00040,Canada,2024,August,Main Road,Windy,150.8372782,1,99,Male,0.03831699,0,Poor,1,0,Minor,14,2,53.97503257,5724.593992,Mechanical Failure,6,10536.15251,2050.902512,1755.611806
ACC00041,China,2024,April,Highway,Snowy,162.1846978,3,43,Male,0.156736086,0,Moderate,1,2,Minor,8,2,10.34810264,8123.459125,Mechanical Failure,3,44996.0536,44858.81844,4731.513423
ACC00042,Germany,2024,May,Street,Clear,259.8050484,4,52,Male,0.092580536,1,Good,2,2,Severe,13,2,26.25383161,548.2407947,Distracted Driving,3,9407.467986,18810.13363,2803.739578
ACC00043,Australia,2024,June,Highway,Rainy,380.1508781,3,40,Female,0.180006793,1,Good,1,0,Severe,10,3,46.40093279,8901.060167,Speeding,9,35029.08979,53448.34811,3856.564385
ACC00044,USA,2024,October,Main Road,Snowy,416.2274339,2,102,Female,0.248640948,0,Good,0,0,Severe,17,0,9.673618218,1092.242023,Distracted Driving,5,6678.281612,6647.569183,812.5644213
ACC00045,Germany,2024,February,Main Road,Rainy,165.5714837,4,43,Female,0.066726237,1,Moderate,0,1,Severe,18,3,27.96596545,3408.728786,Weather,6,10356.03463,87493.94659,3871.074735
ACC00046,USA,2024,February,Highway,Foggy,256.5537261,4,95,Female,0.039931397,0,Good,1,1,Moderate,14,4,23.57713331,1094.117202,Speeding,3,49560.55638,48745.77623,1930.299433
ACC00047,Brazil,2024,September,Main Road,Snowy,435.7819156,4,43,Female,0.192303244,0,Moderate,0,0,Severe,14,3,10.06452702,9882.198926,Weather,5,21289.94154,41050.58833,2619.90041
ACC00048,Brazil,2024,March,Highway,Clear,259.9443022,4,68,Male,0.1043527,1,Moderate,2,2,Moderate,3,1,34.80048173,6999.57166,Mechanical Failure,9,3188.637609,80564.15278,1287.217447
ACC00049,Russia,2024,November,Main Road,Foggy,227.1700757,2,98,Male,0.083760065,1,Moderate,1,1,Minor,13,0,57.98383895,8440.097934,Speeding,3,12586.30524,74877.77979,410.3804398
ACC00050,China,2024,September,Street,Snowy,121.0048775,2,65,Female,0.079545922,0,Good,2,2,Moderate,15,2,18.41307913,5471.399322,Distracted Driving,8,26473.49973,83263.12642,1590.663
ACC00051,USA,2024,January,Highway,Foggy,103.5132947,3,76,Male,0.16043003,1,Good,2,0,Moderate,19,2,33.06820631,7615.264219,Weather,1,11658.01664,16170.26104,3069.413044
ACC00052,Russia,2024,February,Highway,Foggy,265.4159596,1,66,Male,0.048663284,1,Poor,1,2,Severe,9,4,40.41414448,9640.397965,Weather,3,15741.65374,4460.085041,1157.356551
ACC00053,Japan,2024,January,Street,Clear,422.5042797,2,41,Male,0.107869972,0,Good,0,2,Minor,2,0,12.52431383,9327.063585,Distracted Driving,5,40994.112,64403.56651,4566.59222
ACC00054,Japan,2024,November,Highway,Windy,205.2334235,2,119,Male,0.027056328,1,Poor,2,0,Minor,6,3,53.10788919,5478.345239,Distracted Driving,4,14723.98642,59138.09824,3596.232746
ACC00055,India,2024,April,Street,Foggy,52.77181699,2,61,Male,0.118532566,1,Good,2,1,Minor,0,2,57.04148593,8939.094758,Weather,2,31040.11687,77246.43825,309.7444835
ACC00056,Japan,2024,September,Street,Windy,348.8515446,3,36,Female,0.183532073,0,Moderate,1,2,Minor,10,0,15.82111555,2832.008331,Speeding,5,39364.68525,14613.33569,4806.263347
ACC00057,Canada,2024,September,Main Road,Rainy,331.6617297,1,81,Female,0.161536053,1,Good,0,1,Moderate,6,3,8.621321718,8062.049639,Mechanical Failure,5,36666.33792,91747.21975,2247.144039
ACC00058,China,2024,March,Street,Clear,259.5618621,1,97,Male,0.08581037,1,Good,1,1,Severe,12,1,13.63372777,6516.572018,Mechanical Failure,2,10705.94696,20690.26988,1244.477402
ACC00059,India,2024,February,Street,Clear,189.9134907,4,112,Female,0.118185906,1,Moderate,2,1,Minor,1,4,13.48547364,8544.104528,Drunk Driving,9,15599.64365,87565.67231,4577.319021
ACC00060,India,2024,April,Highway,Windy,150.6364828,1,99,Male,0.209013193,0,Poor,2,2,Severe,8,1,9.115521639,5665.503005,Speeding,0,21611.62961,63797.15555,4359.968319
ACC00061,Germany,2024,September,Highway,Clear,85.32939577,2,107,Male,0.217956506,0,Moderate,2,0,Severe,4,1,17.28376671,5090.844288,Drunk Driving,8,1446.03967,58436.2399,2380.089432
ACC00062,USA,2024,October,Street,Foggy,184.2667006,3,62,Female,0.159997604,0,Moderate,2,2,Minor,5,0,19.93192712,149.0869348,Distracted Driving,4,48696.97845,34441.48054,3674.116553
ACC00063,USA,2024,October,Main Road,Foggy,417.576928,4,67,Female,0.199760204,0,Poor,1,0,Moderate,19,2,40.91952155,4039.081472,Speeding,2,41273.87119,76776.22515,1578.296975
ACC00064,Russia,2024,December,Highway,Snowy,201.306266,3,60,Female,0.109459271,1,Poor,1,2,Minor,9,3,52.93563932,2066.25542,Drunk Driving,5,46094.08027,99329.11257,2290.498734
ACC00065,India,2024,April,Highway,Snowy,433.6331188,1,39,Female,0.11282483,0,Good,0,1,Severe,18,3,46.59657004,6275.463473,Distracted Driving,4,40054.83224,2420.717829,3711.428617
ACC00066,Germany,2024,January,Highway,Foggy,386.4168454,1,110,Male,0.204821653,1,Moderate,1,0,Minor,5,1,7.116963865,6432.07573,Drunk Driving,0,29119.95069,80791.7475,909.9681139
ACC00067,Brazil,2024,December,Street,Windy,436.9675588,2,68,Male,0.088368612,1,Moderate,0,1,Severe,3,0,21.9572119,2519.470877,Distracted Driving,4,18072.95741,27453.77655,4075.362512
ACC00068,Japan,2024,March,Main Road,Windy,166.5144264,4,107,Male,0.1459765,0,Moderate,1,1,Moderate,1,2,8.35759458,4178.443319,Speeding,9,15803.98543,65602.66038,441.9773158
ACC00069,Germany,2024,May,Highway,Foggy,456.3617486,4,47,Male,0.041341887,1,Moderate,0,2,Minor,12,2,20.58135352,9556.669015,Mechanical Failure,9,13701.50906,49181.14236,2958.703828
ACC00070,Russia,2024,January,Main Road,Clear,199.271616,2,90,Female,0.156496679,1,Good,1,0,Minor,19,3,29.55250964,1913.551497,Speeding,1,9371.00979,71724.85893,3795.147263
ACC00071,China,2024,October,Highway,Snowy,56.28762667,4,50,Male,0.18092398,1,Good,0,0,Minor,10,3,16.66714657,5492.969944,Drunk Driving,2,36643.6198,45189.60789,4657.602278
ACC00072,Japan,2024,May,Street,Foggy,194.7983517,3,108,Female,0.002580908,0,Poor,0,0,Minor,5,2,29.15058498,6912.866327,Weather,5,20044.24452,44264.24175,3164.072939
ACC00073,Russia,2024,December,Street,Snowy,245.1835735,2,111,Female,0.09050317,0,Poor,2,1,Minor,10,2,48.12952961,9145.768622,Speeding,7,24878.47423,24050.22416,1058.775867
ACC00074,Brazil,2024,September,Street,Clear,129.186484,3,61,Male,0.057567242,0,Moderate,0,1,Severe,11,2,41.54325139,4705.962924,Speeding,8,5112.33569,31567.48639,2945.024275
ACC00075,Canada,2024,October,Main Road,Snowy,92.75047192,3,117,Male,0.114610839,0,Good,2,1,Moderate,7,1,48.14210944,4102.929321,Drunk Driving,3,25266.66454,26655.27029,1640.089291
ACC00076,USA,2024,March,Main Road,Snowy,492.1266952,3,69,Male,0.036475148,1,Good,1,2,Minor,18,0,28.9923773,2509.027612,Distracted Driving,4,10163.83877,41530.66966,2638.318541
ACC00077,Germany,2024,January,Highway,Clear,199.2754089,4,58,Female,0.135753862,0,Poor,1,2,Severe,13,0,52.89344245,9230.449525,Speeding,6,31435.44603,52867.22943,21.02536078
ACC00078,Germany,2024,April,Main Road,Foggy,498.2000149,2,72,Male,0.103488589,0,Poor,1,0,Moderate,6,1,22.46558097,9641.384104,Speeding,0,20053.87409,74037.15968,472.0433488
ACC00079,Russia,2024,July,Main Road,Foggy,377.1088119,4,98,Male,0.182380224,0,Good,2,0,Moderate,16,4,29.93676298,3355.979193,Drunk Driving,9,23825.26903,98716.26277,1187.349533
ACC00080,Russia,2024,April,Street,Rainy,448.6260572,4,109,Male,0.065345339,1,Good,1,0,Minor,1,0,5.640873722,7309.367073,Speeding,7,24561.99645,71285.02759,1437.311251
ACC00081,Australia,2024,November,Street,Clear,192.6254457,2,74,Male,0.073759467,1,Good,2,1,Severe,15,2,5.92026932,673.4030273,Drunk Driving,2,8226.581215,16454.51915,4069.96977
ACC00082,Canada,2024,August,Main Road,Snowy,385.3110132,3,91,Female,0.019746308,0,Moderate,1,2,Severe,19,4,24.45895484,4718.023973,Speeding,9,28830.59512,29172.27373,4412.50146
ACC00083,India,2024,December,Street,Foggy,385.8100385,4,111,Female,0.097096132,0,Good,0,2,Severe,10,4,50.96895937,1028.912227,Distracted Driving,8,43632.50826,68653.21604,2060.484468
ACC00084,UK,2024,October,Street,Windy,457.4602326,1,42,Male,0.012439667,1,Moderate,2,2,Severe,14,4,36.35682129,3629.71427,Distracted Driving,5,28785.52484,95232.70864,3489.562924
ACC00085,China,2024,February,Highway,Rainy,75.18278974,2,114,Female,0.205043031,1,Moderate,0,2,Moderate,3,2,34.43738565,8218.401946,Drunk Driving,7,5761.49436,57908.74458,2155.003772
ACC00086,China,2024,March,Highway,Snowy,478.2921444,2,54,Female,0.05352974,0,Moderate,2,2,Minor,0,0,57.48181955,8679.430568,Distracted Driving,4,31171.60589,91024.58778,551.943003
ACC00087,UK,2024,April,Main Road,Foggy,256.501616,2,112,Female,0.208184027,1,Poor,2,0,Severe,0,0,50.26557379,9522.845919,Distracted Driving,9,8440.30641,88390.64574,4939.930566
ACC00088,Russia,2024,December,Main Road,Snowy,335.198483,1,44,Male,0.189393623,1,Good,1,0,Moderate,16,3,5.432209679,9421.679208,Mechanical Failure,4,30215.66514,14651.83704,4227.550819
ACC00089,Brazil,2024,January,Highway,Snowy,143.1657595,1,46,Female,0.018749913,1,Good,0,2,Minor,19,4,12.97628428,9610.571571,Weather,6,32576.12464,1742.285075,4448.164842
ACC00090,India,2024,November,Highway,Windy,328.9421418,4,50,Male,0.115950737,0,Moderate,2,0,Severe,11,2,33.65140239,2997.005774,Mechanical Failure,8,10013.32035,71058.48925,2576.376643
ACC00091,Germany,2024,December,Street,Rainy,166.8937597,3,105,Male,0.070329901,1,Poor,2,2,Moderate,16,1,8.034476406,9448.96981,Speeding,1,11659.22031,60000.98341,2623.786266
ACC00092,USA,2024,January,Highway,Snowy,390.809894,1,50,Female,0.065810338,0,Good,0,2,Moderate,18,2,30.95475959,8256.824631,Mechanical Failure,8,1180.828038,14425.45894,4957.402839
ACC00093,China,2024,January,Highway,Foggy,245.9984361,1,118,Female,0.165101717,1,Good,2,1,Severe,2,0,36.18180296,9657.362646,Speeding,2,12211.91208,16569.18486,3560.322572
ACC00094,Germany,2024,July,Street,Snowy,344.6667263,1,35,Male,0.183296345,0,Poor,0,0,Severe,9,0,47.41595233,6632.418976,Speeding,6,21106.25307,80840.0176,4742.425769
ACC00095,Canada,2024,July,Highway,Clear,275.8430974,1,106,Female,0.201085809,0,Moderate,2,1,Minor,17,4,18.39521704,9473.867475,Mechanical Failure,7,20137.23095,96495.75816,3050.996983
ACC00096,UK,2024,October,Main Road,Rainy,80.2092586,4,110,Female,0.205701564,1,Poor,2,2,Moderate,12,2,57.25987026,6096.619005,Drunk Driving,5,38477.88531,48551.97683,1630.771685
ACC00097,Russia,2024,October,Main Road,Foggy,170.2869865,1,103,Male,0.004906563,1,Moderate,1,2,Severe,7,0,27.79526104,496.8311714,Distracted Driving,4,14036.01682,26073.62189,2003.994384
ACC00098,Brazil,2024,January,Highway,Clear,294.9987439,1,119,Female,0.167186974,0,Poor,1,0,Minor,2,2,5.843767969,1741.242894,Mechanical Failure,3,33852.43784,47103.10283,3783.844354
ACC00099,Canada,2024,September,Main Road,Windy,477.3049091,3,71,Female,0.138496987,0,Good,0,0,Minor,6,2,15.32536319,8915.270048,Distracted Driving,5,29304.47688,7691.619088,1226.235292
ACC00100,UK,2024,April,Street,Snowy,462.3607343,4,93,Female,0.234428912,0,Good,1,0,Severe,15,2,8.660083046,216.3642062,Weather,8,12698.22632,20682.37446,1533.383695
ACC00101,India,2024,March,Street,Snowy,419.0855196,2,38,Male,0.239881955,1,Poor,2,2,Minor,14,2,41.21554644,2367.538696,Drunk Driving,7,12470.22256,9352.729421,3688.087451
ACC00102,Japan,2024,October,Main Road,Snowy,361.8374119,4,90,Male,0.167852977,1,Moderate,2,2,Moderate,16,3,48.24910904,6627.39069,Drunk Driving,9,33218.4953,39490.45582,1563.796371
ACC00103,Germany,2024,October,Highway,Rainy,364.1761478,4,68,Female,0.021880805,0,Poor,2,1,Minor,9,2,47.99012335,7298.811206,Drunk Driving,1,25734.79712,70024.24073,2569.807066
ACC00104,Australia,2024,April,Street,Clear,231.7085777,4,41,Female,0.067474658,1,Good,0,0,Moderate,2,3,15.45805431,1563.009082,Mechanical Failure,6,33790.446,86213.84912,3817.094354
ACC00105,Russia,2024,December,Main Road,Snowy,409.290569,2,55,Female,0.080005959,1,Poor,0,2,Minor,10,0,13.04043914,2997.09606,Mechanical Failure,9,24808.14142,98092.66359,2590.145023
ACC00106,UK,2024,August,Street,Windy,189.9169772,2,61,Female,0.135275391,0,Good,2,0,Severe,0,0,13.30180126,9569.855063,Speeding,2,30801.66283,92355.74109,1647.975694
ACC00107,USA,2024,January,Street,Rainy,319.5608576,3,33,Female,0.013794089,1,Poor,1,1,Moderate,12,4,18.15166916,4381.394014,Weather,3,13243.76919,92006.83255,394.4809835
ACC00108,Brazil,2024,September,Street,Foggy,323.3773342,2,76,Female,0.191629467,0,Moderate,0,0,Moderate,7,0,59.23012636,334.7755667,Distracted Driving,1,20729.09616,23326.88398,4397.894353
ACC00109,Germany,2024,June,Main Road,Snowy,248.0451622,3,81,Male,0.10340948,0,Poor,2,2,Severe,1,1,15.7641066,6318.718257,Distracted Driving,8,28325.66805,70802.12685,98.20091696
ACC00110,Japan,2024,February,Street,Rainy,425.1819729,3,101,Female,0.015935916,1,Good,1,2,Moderate,18,1,37.56115256,6324.652123,Distracted Driving,3,14235.84797,37649.35425,4276.981403
ACC00111,Japan,2024,August,Main Road,Rainy,203.399517,4,108,Male,0.065607292,0,Poor,1,2,Minor,6,0,9.447210093,4084.44363,Weather,0,48985.01336,91998.64335,4782.912271
ACC00112,Canada,2024,December,Main Road,Foggy,304.0493957,3,65,Male,0.063671433,0,Moderate,2,2,Severe,4,2,40.70894362,8469.038742,Mechanical Failure,6,41634.75452,92653.92321,1922.591598
ACC00113,Germany,2024,August,Main Road,Snowy,326.3732125,3,89,Male,0.115240853,1,Poor,0,1,Severe,9,2,47.02117361,7695.533926,Distracted Driving,8,40620.87192,21734.76239,2387.708981
ACC00114,Brazil,2024,November,Highway,Rainy,253.3644884,2,53,Male,0.225918973,1,Poor,2,2,Severe,19,1,15.49889171,9050.8647,Drunk Driving,9,12135.23443,17874.41625,4360.251614
ACC00115,China,2024,February,Street,Rainy,496.6264873,2,69,Female,0.059476281,0,Moderate,0,2,Minor,6,0,45.5835144,993.783297,Distracted Driving,8,17832.18885,80353.58059,3745.962853
ACC00116,India,2024,January,Main Road,Snowy,355.7631332,1,42,Male,0.07153676,1,Poor,0,2,Moderate,0,1,34.56918266,7259.746715,Drunk Driving,0,18597.54169,38878.36392,402.3192975
ACC00117,Canada,2024,April,Street,Windy,496.4247538,4,35,Female,0.109765766,1,Poor,0,0,Severe,14,3,24.72346833,6817.087743,Distracted Driving,8,8026.101015,94006.34287,2108.685942
ACC00118,India,2024,May,Main Road,Snowy,398.5097692,3,108,Female,0.124311031,1,Good,2,0,Moderate,11,0,36.27963495,8760.339326,Weather,4,1769.395087,20678.93541,1685.746325
ACC00119,USA,2024,May,Street,Clear,133.1254476,3,71,Male,0.013820996,1,Moderate,2,0,Minor,18,3,27.34123133,436.0850204,Weather,5,44222.04027,79180.90737,3213.056373
ACC00120,Canada,2024,November,Main Road,Windy,497.3021025,1,57,Female,0.125361614,0,Poor,0,2,Moderate,0,0,18.94501856,632.9024686,Distracted Driving,2,11471.66824,94918.39342,1926.956284
ACC00121,Germany,2024,March,Highway,Rainy,422.8928123,2,106,Male,0.180676849,1,Poor,2,1,Severe,16,0,9.279398206,6037.54275,Drunk Driving,9,30524.06053,88749.00641,3688.26881
ACC00122,Australia,2024,February,Main Road,Rainy,187.8314334,2,104,Male,0.000220131,0,Poor,0,1,Severe,13,3,25.35937594,2899.111087,Weather,4,40854.04707,31762.25649,2382.641319
ACC00123,India,2024,August,Highway,Foggy,97.08146807,3,107,Female,0.153941513,0,Good,1,2,Severe,14,2,35.7439319,1741.362603,Mechanical Failure,7,49885.86992,52982.54752,3286.890908
ACC00124,Brazil,2024,June,Highway,Clear,296.5099081,4,37,Male,0.169935277,1,Moderate,2,2,Minor,8,2,43.87518515,4976.730688,Mechanical Failure,2,17931.63773,89600.27161,1184.662175
ACC00125,Russia,2024,October,Main Road,Snowy,322.3607284,2,95,Female,0.217835715,0,Good,0,1,Severe,3,3,46.49358338,2891.930067,Weather,3,38539.53537,96604.39749,4456.660665
ACC00126,India,2024,April,Street,Snowy,337.7841024,1,56,Male,0.131828829,1,Moderate,1,2,Severe,11,1,5.1930059,135.036772,Distracted Driving,0,1045.476417,61848.07,517.2654174
ACC00127,China,2024,August,Street,Rainy,233.2123344,2,106,Male,0.06822238,1,Poor,2,2,Severe,13,3,7.851261352,2643.214201,Distracted Driving,1,979.5265667,68042.69618,2109.258873
ACC00128,Germany,2024,November,Main Road,Snowy,255.7506864,1,31,Female,0.153630272,1,Moderate,0,0,Moderate,2,1,14.06848207,4465.175895,Drunk Driving,1,6876.992006,26680.24536,1104.469788
ACC00129,Russia,2024,August,Highway,Rainy,253.0737729,2,114,Female,0.146661614,0,Poor,1,1,Severe,3,2,15.27237617,6942.352988,Weather,2,24520.85425,48509.53153,1241.02316
ACC00130,Brazil,2024,November,Main Road,Rainy,107.2263887,1,69,Female,0.015545486,0,Poor,2,0,Minor,6,4,45.75626973,7652.295491,Weather,0,43166.59659,59886.86718,3331.005222
ACC00131,USA,2024,March,Highway,Clear,388.9752686,1,77,Male,0.026067417,0,Moderate,2,2,Severe,7,1,47.80041382,8455.526618,Speeding,6,46067.37538,52358.09103,703.1800919
ACC00132,Brazil,2024,May,Street,Snowy,478.3725122,1,40,Female,0.180479742,0,Good,0,1,Moderate,17,2,46.22860139,6508.641482,Distracted Driving,3,11186.67695,56496.85957,1271.427986
ACC00133,China,2024,August,Street,Snowy,269.1948143,1,32,Male,0.042219993,1,Moderate,0,0,Severe,5,0,25.03355697,3586.297404,Distracted Driving,4,19178.02415,27016.09796,828.0441258
ACC00134,India,2024,April,Highway,Snowy,294.4062342,4,89,Male,0.121836719,0,Poor,1,2,Severe,0,2,41.30745058,9370.056954,Weather,5,35807.86831,66171.2167,2607.662133
ACC00135,China,2024,August,Street,Foggy,340.3558765,3,88,Male,0.132449392,0,Good,2,1,Minor,16,2,44.86312393,3627.309441,Drunk Driving,6,29950.26807,67228.81223,425.1833358
ACC00136,Australia,2024,August,Highway,Windy,474.9333091,4,75,Female,0.066031386,1,Good,1,0,Moderate,19,4,14.86221196,6127.161593,Mechanical Failure,8,21370.625,25735.92878,3102.789794
ACC00137,India,2024,August,Highway,Clear,474.2723313,3,81,Female,0.020556702,0,Good,0,0,Severe,5,0,42.65230991,4427.396338,Drunk Driving,5,31961.895,13907.07594,2557.692364
